road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
168258,A,116588,SPARROW HAWK CT,EW,CT,Local,ROAD,0,500,450,450 - 500,R,625777,999991,,3,UPPER MISSION DR,EAST END OF ROAD,39646,Hillside,,,179.2799524
168272,A,114809,UPPER MISSION DR,NS,DR,Collector,ROAD,,5433,5425,5425 - 5433,R,625777,625765,,2,SPARROW HAWK CT,WINDHOVER CT,39649,Hillside,,,39.30459362
168296,A,116590,SAGEHILL CT,NS,CT,Local,ROAD,0,3650,3500,3500 - 3650,R,999992,625791,,3,SOUTH END OF ROAD,MCKINLEY BEACH DR,39652,Hillside,,,284.7087353
168308,A,115776,MCKINLEY BEACH DR,NS,DR,Collector,ROAD,,3645,3551,3551 - 3645,R,625120,625791,,2,WILD ROSE RD,SAGEHILL CT,39655,Hillside,,,342.2334377
165225,A,115648,TRESTLE RIDGE DR,EW,DR,Collector,ROAD,,500,450,450 - 500,R,624507,624519,,2,TRESTLE RIDGE CT,UPPER MISSION DR,40052,Hillside,,,361.7558084
167890,A,114809,UPPER MISSION DR,NS,DR,Collector,ROAD,0,5540,5481,5481 - 5540,R,624519,625676,,2,TRESTLE RIDGE DR,REDTAIL CT,40053,Hillside,,,174.1298994
168322,A,114900,SKYLAND DR,NS,DR,Collector,ROAD,0,216,200,200 - 216,R,625803,625815,,3,ECHO RIDGE DR,SUMMER WOOD DR,40054,Hillside,,,93.57341103
168334,A,114900,SKYLAND DR,EW,DR,Collector,ROAD,0,199,186,186 - 199,R,625815,623529,,3,SUMMER WOOD DR,WILDEN RIDGE DR,40055,Hillside,,,44.98727213
168346,A,116614,SUMMER WOOD DR,EW,DR,Local,ROAD,0,229,100,100 - 229,R,625815,625827,,3,SKYLAND DR,ECHO RIDGE DR,40056,Hillside,,,612.067414
168359,A,116614,SUMMER WOOD DR,NS,DR,Local,ROAD,0,280,230,230 - 280,R,625827,999993,,3,ECHO RIDGE DR,NORTH END OF ROAD,40057,Hillside,,,174.390226
168373,A,116602,ECHO RIDGE DR,NS,DR,Collector,ROAD,0,185,119,119 - 185,R,625827,625803,,3,SUMMER WOOD DR,SKYLAND DR,40058,Hillside,,,294.4755796
168385,A,116602,ECHO RIDGE DR,NS,DR,Local,ROAD,0,118,103,103 - 118,R,625803,999993,,3,SKYLAND DR,NORTH END OF ROAD,40059,Hillside,,,108.4840269
168361,A,116602,ECHO RIDGE DR,NS,DR,Collector,ROAD,0,218,186,186 - 218,R,625841,625827,,3,UPPER CANYON DR N,SUMMER WOOD DR,40060,Hillside,,,166.5670727
168397,A,115446,UPPER CANYON DR N,NS,DR,Minor Arterial,ROAD,,108,100,100 - 108,R,623517,625841,,2,UPPER CANYON DR,ECHO RIDGE DR,40061,Suburban,,,163.9618177
168411,A,116626,ARROWROOT DR,NS,DR,Strata,PRIVATE,0,3554,3350,3350 - 3554,R,625854,625878,,3,MCKINLEY BEACH LANE,MAIDEN GRASS CT,40062,,,,795.572703
168450,A,116095,BOXWOOD RD,NS,RD,Local,ROAD,,3650,3590,3590 - 3650,R,625866,999993,,3,ARROWROOT DR,NORTH END OF ROAD,40064,Hillside,,,118.7085032
168462,A,116335,MCKINLEY BEACH LANE,NS,LANE,Strata,PRIVATE,,3349,3300,3300 - 3349,R,625450,625854,,3,MCKINLEY BEACH DR,ARROWROOT DR,40066,,,,123.605231
168435,A,116638,MAIDEN GRASS CT,NS,CT,Strata,PRIVATE,0,3650,3550,3550 - 3650,R,625878,999993,,3,ARROWROOT DR,NORTH END OF ROAD,40067,,,,204.5394156
168423,A,116626,ARROWROOT DR,NS,DR,Strata,PRIVATE,0,3600,3555,3555 - 3600,R,625878,625866,,3,MAIDEN GRASS CT,BOXWOOD RD,40069,,,,307.0641524
168512,A,111827,LONE PINE DR,NS,DR,Collector,ROAD,,784,685,685 - 784,L,612591,625880,,2,TOOVEY RD,DEANS DR,40070,Hillside,,,258.6196247
168486,A,116640,DEANS DR,EW,DR,Collector,ROAD,0,791,719,719 - 791,R,625880,625892,,3,LONE PINE DR,DEANS CT,40071,Hillside,,,161.2901427
168498,A,116640,DEANS DR,EW,DR,Collector,ROAD,0,707,635,635 - 707,R,625892,999991,,3,DEANS CT,EAST END OF ROAD,40072,Hillside,,,161.1930398
168500,A,116653,DEANS CT,NS,CT,Local,ROAD,0,700,652,652 - 700,R,625892,999993,,3,DEANS DR,NORTH END OF ROAD,40073,Hillside,,,87.90582086
